GaiaDR3_ID,st_age,st_ageerr1,st_ageerr2,st_ageerr,st_age_norm,st_ageerr_norm
1677343097418015488,0.7,0.15,-0.15,0.15,-1.450306395677046,0.06208490427318657
1678074272650459008,4.6,1.6,-1.2,1.4,0.16390111542580454,0.5794591065497413
1678371724905519744,4.0,2.3,-2.0,2.15,-0.08443850166694158,0.8898836279156741
1679187115856566528,1.6,0.3,-0.3,0.3,-1.0777969700379266,0.12416980854637313
1685195530290375168,0.8,,,,-1.4089164594949217,
1686171213716517504,8.7,2.0,-1.9,1.95,1.860888498892904,0.8071037555514253
1695343683312903168,6.2,1.4,-1.4,1.4,0.8261400943397949,0.5794591065497413
1697129530714536320,5.6,1.2,-1.7,1.45,0.5778004772470483,0.6001540746408035
1709456705329541504,3.0,2.0,-2.0,2.0,-0.4983378634881854,0.8277987236424875
1709691004385812864,1.6,0.6,-0.6,0.6,-1.0777969700379266,0.24833961709274627
1712614124767394816,7.9,4.9,-4.1,4.5,1.5297690094359093,1.862547128195597
1725490333641502976,0.8,1.2,-0.6,0.8999999999999999,-1.4089164594949217,0.3725094256391194
1737061349198867456,4.4,8.4,-2.4,5.4,0.08112124306155608,2.2350565538347165
1740534092250753920,4.0,,,,-0.08443850166694158,
1744911763437512064,0.8,0.2,-0.2,0.2,-1.4089164594949217,0.08277987236424876
1750321012752775040,4.81,0.191,-0.191,0.191,0.2508199814082657,0.07905477810785756
1754430373040023168,3.12,,,,-0.44866994006963606,
1757302881526250496,3.9,0.8,-0.8,0.8,-0.125828437849066,0.33111948945699504
1772187382746856320,0.3,0.2,-0.2,0.2,-1.6158661404055437,0.08277987236424876
1781063087283857664,2.0,1.3,-1.3,1.3,-0.9122372253094292,0.5380691703676169
178924390478792320,2.9,2.2,-2.2,2.2,-0.5397277996703098,0.9105785960067364
1790807028049001600,9.7,2.3,-2.5,2.4,2.274787860714148,0.9933584683709851
1803475188714186368,8.9,3.9,-3.9,3.9,1.943668371257153,1.6142075111028507
1807887150930343424,9.6,2.8,-4.1,3.4499999999999997,2.2333979245320235,1.427952798283291
1808938730710633984,4.0,1.0,-1.0,1.0,-0.08443850166694158,0.41389936182124376
1810218734058821632,1.7,0.4,-0.5,0.45,-1.0364070338558022,0.18625471281955971
1816307623283205248,4.2,3.4,-2.3,2.8499999999999996,-0.0016586293026927598,1.1796131811905446
1838769198425933568,5.3,3.1,-2.3,2.7,0.45363066870067525,1.1175282769173582
1846882224145757056,0.1,0.05,-0.07,0.060000000000000005,-1.6986460127697924,0.02483396170927463
1847742385838236416,1.32,0.35,-0.25,0.3,-1.1936887913478749,0.12416980854637313
1864885215233116032,3.1,0.3,-0.3,0.3,-0.45694792730606093,0.12416980854637313
1869054868256849920,6.6,1.8,-2.4,2.1,0.9916998390682921,0.869188659824612
1869489729418662528,4.11,0.66,-0.52,0.5900000000000001,-0.03890957186660464,0.24420062347453386
1891930796082743680,10.0,,,,2.398957669260521,
1896138833241139584,6.0,3.0,-2.5,2.75,0.743360221975546,1.1382232450084204
1900293230549817856,1.8,2.9,-1.3,2.1,-0.995017097673678,0.869188659824612
1926476042681491712,0.03,0.12,-0.01,0.065,-1.7276189680972793,0.026903458518380847
1950477552581609984,6.1,3.7,-3.7,3.7,0.7847501581576702,1.531427638738602
1958584565350234752,6.6,6.6,-4.6,5.6,0.9916998390682921,2.3178364261989652
1978027916667478656,2.33,0.71,-0.56,0.635,-0.7756504359084186,0.2628260947564898
1986772848034988544,0.12,0.01,-0.01,0.01,-1.6903680255333675,0.0041389936182124375
2005028761147595648,3.2,1.9,-1.6,1.75,-0.41555799112393654,0.7243238831871767
2009481748875806976,11.0,2.2,-2.2,2.2,2.812857031081765,0.9105785960067364
2009481748875806976,12.46,,,,3.417150099340781,
2016655237613545728,6.2,0.5,-0.5,0.5,0.8261400943397949,0.20694968091062188
2024845946447691264,2.76,2.24,-0.95,1.5950000000000002,-0.5976737103252839,0.6601694821048839
2029433521248546304,11.3,3.5,-3.5,3.5,2.9370268396281385,1.4486477663743533
2032764938419327616,2.5,0.5,-0.7,0.6,-0.7052875443988073,0.24833961709274627
2033123654092592384,0.6,,,,-1.4916963318591705,
2034047656176989952,6.35,1.85,-1.85,1.85,0.8882249986129811,0.765713819369301
2035963417721248128,4.4,2.2,-2.2,2.2,0.08112124306155608,0.9105785960067364
2042653052618584960,5.72,3.37,-2.65,3.01,0.6274684006655976,1.2458370790819437
2048174967505679488,2.37,0.77,-0.56,0.665,-0.7590944614355689,0.27524307561112715
2048464796210957440,2.55,1.95,-1.95,1.95,-0.6845925763077452,0.8071037555514253
2048563889694771200,0.6,,,,-1.4916963318591705,
2050231848829944320,6.2,3.5,-2.8,3.15,0.8261400943397949,1.303782989736918
2051034251798891904,8.71,4.14,-5.82,4.98,1.865027492511117,2.061218821869794
2051103314872392192,4.37,5.38,-2.68,4.03,0.06870426220691865,1.6680144281396125
2051106987063242880,1.9,1.7,-1.7,1.7,-0.9536271614915536,0.7036289150961144
2051669906960994304,3.8,2.28,-2.08,2.1799999999999997,-0.16721837403119041,0.9023006087703114
2051721480924900224,2.45,0.997,-0.791,0.894,-0.7259825124898693,0.37002602946819196
2051722855314502400,3.72,1.99,-2.0,1.995,-0.20033032297688977,0.8257292268333813
2051748659478657152,4.07,2.72,-2.3,2.51,-0.05546554633945441,1.0388873981713218
2051807620790721792,3.89,2.96,-1.91,2.435,-0.12996743146727835,1.0078449460347285
2051815759742763264,4.47,5.74,-2.68,4.21,0.11009419838904289,1.7425163132674364
2051865551307698688,4.47,3.91,-2.47,3.1900000000000004,0.11009419838904289,1.3203389642097678
2051866238502437632,2.9,1.6,-1.3,1.4500000000000002,-0.5397277996703098,0.6001540746408035
2051896440713570048,4.07,5.97,-2.41,4.1899999999999995,-0.05546554633945441,1.7342383260310112
2051897265347291520,4.37,3.1,-2.56,2.83,0.06870426220691865,1.17133519395412
2051905030647886976,3.63,5.57,-2.02,3.795,-0.23758126554080183,1.57074807811162
