dr3_id,Av_b,Av_err_b,AG_b,AG_err_b,ABP_b,ABP_err_b,ARP_b,ARP_err_b,Av_e,Av_err_e,AG_e,AG_err_e,ABP_e,ABP_err_e,ARP_e,ARP_err_e
145203159127518336,,,,,,,,,1.3623580834215578,0.07677557312766577,1.074900527819609,0.060957718498571456,1.365082799588401,0.07751796642958415,0.8024289111352976,0.04554797693036461
5213167330349528064,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3105507886130792448,0.26129948657751084,0.06060926638543605,0.20616529490965607,0.04783855509024354,0.2618220855506659,0.06075802327317074,0.15390539759415386,0.035714155375485494,0.2490723933844524,0.020236938224035998,0.19651811838033295,0.016015437408673734,0.2495705381712213,0.020352229786758613,0.14670363970344244,0.01196112130143621
4263752921128319616,,,,,,,,,0.996947680662374,0.032023997806931534,0.7865917200426131,0.02575394308328775,0.9989415760236988,0.032838148739646966,0.5872021839101382,0.0192790715699966
4285511294172309504,0.6547199853658676,0.09214225968718529,0.5165740684536696,0.07277390860198209,0.6560294253365994,0.09244022403601394,0.385630071380496,0.05433494111244309,0.49029605900487216,0.011188965099474486,0.38684359055484413,0.009162149847984689,0.49127665112288194,0.011724902284339811,0.2887843787538697,0.006875922014130187
3107255598526406912,0.5675026295185089,0.06988004006445409,0.4477595746901036,0.05520831892129384,0.5686376347775459,0.07013239846731575,0.3342590487864017,0.041221893614526994,0.3976026624582175,0.039013660008453584,0.31370850067953365,0.03084590796483753,0.39839786778313396,0.039190640772630896,0.23418796818789012,0.023034017222033736
3101974231859723776,0.3698052977323532,0.03429596068710089,0.2917763799108267,0.02712261310761621,0.37054490832781795,0.034461914020175476,0.21781532036435602,0.020254408348816658,0.4190317571577249,0.013137623879902381,0.33061605639744496,0.010575209110516043,0.4198698206720403,0.013486735457667029,0.24680970496589996,0.007917511072310894
3101145195794755072,1.0256094284057617,0.3057531636953354,0.809205839012146,0.24129374370924436,1.0276606472625733,0.3064487769569589,0.6040839533309936,0.18013533433918694,,,,,,,,
4256135160951556480,1.4537504835128785,0.05770441651344299,1.1470091314916613,0.04610536835891689,1.4566579844799044,0.05870850309830479,0.8562590347890854,0.03448175871482404,1.5903514242412318,0.020088947494591728,1.254787273726332,0.017732981526477194,1.5935321270897143,0.023002464083793073,0.9367169888780854,0.013434021635836185
4255957040079935488,2.0706077814102173,0.07011321565508843,1.6337095395326615,0.05627977763945018,2.074748996973038,0.07173304355472697,1.219587983250618,0.04211905479077935,1.9248240184205652,0.0331817544843443,1.518686150533826,0.02789331920439153,1.9286736664574062,0.035874500382441686,1.133721346849713,0.021005932090516127
3120058170178779392,0.4578489129543305,0.09542475655674935,0.3612427923209668,0.07532492785447452,0.45876461078023917,0.09566930427171912,0.26967300973010067,0.05623501089235254,0.3536939094557863,0.062104927618248,0.27906449456061544,0.049032690100162736,0.3544012972746979,0.062278370405715905,0.20832571266945812,0.03660715136861907
