GaiaDR3_ID,st_age,st_ageerr1,st_ageerr2
2073195870740245504,3.55,2.9,-1.87
2073199409793428736,1.7,0.74,-0.401
2073277200237694464,2.69,1.94,-1.14
2073280185224841728,1.7,0.53,-0.392
2073292868280455936,3.98,4.51,-2.35
2073299327911286144,4.57,6.24,-2.7
2073478823183937536,2,NULL,NULL
2073530190996615424,7.1,4.5,-4.8
2073591420052466048,5.13,1.9,-2.65
2073622068939722368,4.27,6.16,-2.6
2073641344741406464,2.29,1.28,-0.78
2073671753111037440,2.14,1.2,-0.649
2073719238270085504,2.51,0.83,-0.912
2073731161099713408,2.34,NULL,NULL
2073733325763480320,6.46,5.08,-3.46
2073746932220288256,4.07,4.88,-2.44
2073768853731839104,2.69,1.7,-1.09
2073793249146651136,5.62,5.67,-3.36
2073793420945053824,4.4,0.25,-0.25
2073804411752924288,3.55,0.84,-0.4
2073856917743350784,2.67,0.91,-0.91
2073861006552197120,4.47,4.74,-2.74
2073907392200330112,3.16,2.51,-1.4
2074815898041643520,8.2,4.1,-5
2075063150726110208,5.62,4.19,-3.24
2075107062469670272,4.47,6.17,-2.71
2075112109039378688,3.14,NULL,NULL
2075132209486310912,4.4,2.1,-1.4
2075161655782111872,1.91,1.26,-0.602
2075358472669256448,2.69,1.3,-0.938
2075389018477664384,3.47,3.42,-1.78
2075412451819530624,5.5,1.6,-2.54
2075875277491246848,4.17,4.64,-2.47
2075964612812129792,2.57,1.84,-0.876
2075971312960643712,3.24,1.4,-1.51
2075972481191725696,1.58,0.65,-0.346
2075987599477644672,3.47,3.5,-1.8
2075998903831657472,0.5,0.46,-0.46
2076085318570299136,3.44,0.6,-0.91
2076087964270165632,3.63,6.39,-2.01
2076090506891080704,4.57,5.92,-2.81
2076102635879020928,4.07,4.4,-2.33
2076166029596100224,2,0.721,-0.533
2076173859319258368,2.75,0.53,-0.56
2076186611079704320,4.47,5.74,-2.73
2076194101502797952,3.02,1.54,-1.36
2076198190312168576,3.63,2.37,-1.94
2076214889145035136,5.13,5.76,-3.24
2076245950349844608,3.72,1.23,-1.68
2076249351963553152,3.55,2.81,-1.75
2076253887449048320,4.57,5.13,-2.88
2076280000851171328,4.37,4.24,-2.65
2076325527501566208,2.88,1.66,-1.17
2076328963475704576,2,1,-1
2076459496119200000,3.55,1.96,-1.88
2076477053946253952,4.07,4.09,-2.44
2076483616656410496,1.12,0.13,-0.082
2076495402046502016,4.68,6,-2.94
2076517323560360576,4.68,1,-1.73
2076565805151925760,2.09,1.63,-0.66
2076565908231148928,2.75,1.26,-1.11
2076578312097047168,2.4,0.734,-0.751
2076579445968420736,2.95,1.39,-1.14
2076589960045421184,1.91,1.28,-0.632
2076595869920511104,4.07,3.55,-2.32
2076598687419100800,4.17,4.32,-2.49
2076599065376447488,2.88,1.57,-1.12
2076601230039790592,5.01,3.56,-3
2076661630160275072,1.74,0.617,-0.404
2076692386427776768,5.62,3.97,-3.36
2076748083562850560,1.55,0.59,-0.31
